"replicate","direct","indirect_IC","indirect_PS","total","IC_to_Tol","PS_to_Tol","IB_to_Tol","TC_to_Tol","interaction","interaction_f2","failure"
110,-0.123669010682709,-0.032433297850112,0.0306907667823134,-0.125411541750508,-0.3003818810979,0.101233277525262,0.180513081029791,-0.0199191185366935,0.0892881901975578,0.00221572503824127,""
111,-0.149682009844142,-0.051391662038435,0.0105414606635046,-0.190532211219073,-0.389191320548751,0.0303262323049618,0.187497283405566,0.0914110776213176,0.189332888994664,0.00950447170116587,""
112,-0.151287876917948,-0.0389391878445179,0.0361265972525386,-0.154100467509927,-0.303157302544922,0.120633426196034,0.184839934034709,-0.0316366425715198,0.0772769872108473,0.0016285042504078,""
113,-0.159652182609039,-0.0105599089727025,0.0490738892699133,-0.121138202311828,-0.34866272009345,0.146517640366946,0.181272845373862,0.0433028531470352,0.00225438396555787,1.58820522831963e-06,""
114,-0.1196195408185,-0.00368759080171553,0.041954129253371,-0.0813530023668445,-0.273118503156529,0.126994845091733,0.140203442957489,0.0210647321124442,-0.0357792776738438,0.000354061206391934,""
115,-0.13741692501085,-0.0150389935742704,0.0048590605947765,-0.147596857990343,-0.332841920801213,0.0142457539795558,0.153579456757685,0.0300831699739077,0.109361721941895,0.00320636237573524,""
116,-0.151880306152678,-0.0301974486577723,0.0269565306042193,-0.155121224206231,-0.397293852472036,0.0857703720268892,0.130461457909504,0.0659987965687998,0.114912484787638,0.00368445981162989,""
117,-0.123717076265144,-0.0576327889159733,0.026610615917018,-0.1547392492641,-0.359765668906371,0.0749635743001813,0.225795706095918,0.0397435210436968,0.0926838008244146,0.00200028442309011,""
118,-0.126125223614453,-0.0198807371526127,0.0245573353710626,-0.121448625396003,-0.271395417755938,0.088946452838191,0.137523407061035,-0.0558952054001115,-0.00437069386964464,5.25379270081836e-06,""
119,-0.130499728867737,-0.0176627355421558,0.0179950290932797,-0.130167435316613,-0.283144306075256,0.0545073681424241,0.235546743285615,-0.0554343389978996,-0.095376278561773,0.00236781946462737,""
120,-0.0977942916561647,-0.0550168035122303,0.0241987399123855,-0.12861235525601,-0.375194311897692,0.0650869306452298,0.129437123125314,0.075298971236696,0.114713040536757,0.00330038430918989,""
121,-0.122880642941513,-0.0180671636120133,0.023685896416421,-0.117261910137105,-0.279168233505605,0.0714420955601154,0.246461354177495,0.00250097144655712,0.0747465015371742,0.00155550625218163,""
122,-0.131911752971164,-0.0355328236664504,0.028732719723679,-0.138711856913936,-0.356523166418131,0.0793254325202048,0.198880720448127,-0.00594074696178575,0.0875543368553355,0.00222426346635243,""
123,-0.116011277023985,-0.0352855344234147,0.0324130225886967,-0.118883788858703,-0.35198579835289,0.0994987635062966,0.207100114516246,0.0199829216175876,0.0272135217778872,0.000196924079168456,""
124,-0.122268659740356,-0.05142267179994,0.00318854621023793,-0.170502785330058,-0.33609360615531,0.00833319252225956,0.213836425399385,0.0208703208730881,0.116926226146783,0.00368853174365558,""
125,-0.13061137482284,-0.0268061804770109,0.0188196892027372,-0.138597866097114,-0.381378025121457,0.0506929335037322,0.178144853213918,0.0416801969228659,0.260581392206585,0.0190401734651809,""
126,-0.133289039277015,-0.0349305919725857,0.026286344322702,-0.141933286926899,-0.417702420697575,0.0772616465312927,0.142424173444822,0.0774989084149371,0.115970262906339,0.00389208316261504,""
127,-0.164456564410139,-0.0293524987333345,0.00355178853512493,-0.190257274608349,-0.299229706346127,0.00930368784998442,0.235024799570856,-0.00567701905058786,-0.0735837852926481,0.00154080314937441,""
128,-0.108754606622594,-0.0285559764518184,0.00378271459337108,-0.133527868481041,-0.315019549113243,0.0115869823169957,0.156536090916244,-0.00679955591228487,0.0617472020496226,0.000811200089682197,""
129,-0.133257972251505,-0.0402427681924979,0.0248323746793463,-0.148668365764656,-0.325175879183081,0.074183835589831,0.187939820946302,0.0104823260423245,0.00588315706799747,9.36212478582986e-06,""
130,-0.148959306880636,-0.0120023406576178,0.0355752285789815,-0.125386418959272,-0.336081108423073,0.108302547213798,0.183097246190291,0.0294441208648335,0.153488380220818,0.00720736292103001,""
131,-0.192589616627652,0.00387191928184892,0.0172086634413554,-0.171509033904447,-0.353047734620153,0.0525420913293267,0.212590438454758,0.0343106172030981,0.00401447288291109,4.74983058891695e-06,""
132,-0.13037584886125,-0.042450112449897,0.0409387313707573,-0.13188722994039,-0.36776161059028,0.11912597394913,0.180773695256921,0.0307989157565866,0.136834210586406,0.00543174385615607,""
133,-0.130412184995196,-0.0127979123389954,-0.00446856925155321,-0.147678666585745,-0.226992128778892,-0.0128051778283624,0.264838768314938,-0.104809481841784,-0.0576318015633638,0.000916904894362602,""
134,-0.164658293871455,0.00594606433134614,0.0164711970231188,-0.14224103251699,-0.309292999325386,0.049405736858664,0.184347242921342,0.00450304407826424,0.0240465483573881,0.000168743375592162,""
